symbol,score_0to7,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,digest
2726.T,3,0.2701841923668984,0.22060735850686974,,,,,,,年率5–10%の安定成長は未達; 四半期データ不足,"パルグループホールディングス（証券コード：2726.T）の直近決算・見通しについて、主要な3点を以下にまとめます。

- **2025年2月期決算は増収増益を達成し、売上高106,566百万円（前年同期比+8.3%）、営業利益11,850百万円（同+42.7%）となりました。**[5]

- **2026年2月期の会社予想では、売上高113,918百万円、最終益7,664百万円と大幅な増益見通し（前年同期比+83.3%）を示しています。**[5]

- **キャッシュフローが好転し、2025年2月期の営業キャッシュフローは22,038百万円、期末現金残高も大きく増えて85,715百万円に改善しています。**[1]"
2692.T,2,0.22375271149674614,0.12323513211890136,,,,,,,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 四半期データ不足,
2695.T,2,1.1596113809854267,0.5915937085734329,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 四半期データ不足,
2730.T,2,0.40434857834938587,0.12475175057237742,,,,,,,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 四半期データ不足,
3002.T,2,0.20755831118984358,0.16558067470722726,,,,,,,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 四半期データ不足,
3028.T,2,0.971735443753533,0.22880295814939755,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 四半期データ不足,
3034.T,2,0.4942739844425237,0.1703320741545158,,,,,,,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 四半期データ不足,
2678.T,1,-0.17155363674521795,-0.02211610025872679,,,,,,,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2685.T,1,-0.13187231497090657,0.1521532780487196,,,,,,,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2733.T,1,0.01799100449775115,0.06845382083245033,,,,,,,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2734.T,1,0.041041931385006336,-0.02400632410403991,,,,,,,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2930.T,1,0.15135135135135136,0.7747458228362383,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 四半期データ不足,
2933.T,1,-0.0461993627674101,0.5431299362010964,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 四半期データ不足,
3003.T,1,0.12290722294578615,0.11912769750845409,,,,,,,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
3031.T,1,1.6112149532710278,0.06789894805890029,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 四半期データ不足,
2681.T,0,-0.34801856098991946,0.01241662493183604,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2737.T,0,0.18926325971304214,0.0581083410957659,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2931.T,0,-1.3037350246652573,,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
2935.T,0,-0.2405420666290231,-0.0971425831552829,,,,,,,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近2年CAGR+20%未満; 四半期データ不足,
