symbol,name_jp,market,score_0to7,annual_last1_yoy,annual_last2_cagr,q_last_pretax_yoy,q_last_revenue_yoy,q_last_ok_20_10,q_seq_ok,q_accelerating,q_improving_margin,notes,digest
1736.T,オーテック,スタンダード,7,0.9429360331339163,0.4393188880957022,3.4100719424460433,0.1441425546930134,True,True,True,True,年率5–10%の安定成長は未達,"オーテック（1736.T）の直近決算と見通しは、以下の3点に要約できます。

- **2025年3月期第1四半期の業績は、売上高64億8,500万円（前年同期比14.4％増）、営業利益5億2,200万円（同851.9％増）、親会社株主に帰属する四半期純利益は3億8,700万円（同698.1％増）と大幅増収・増益。主因は環境システム事業の既設工事完成工事高増加。**[1]

- **堅調な業績推移により収益性・安定性・成長性がともに高水準。純利益率・営業利益率は前年同期比で改善し、自己資本比率も30%超の高水準。売上高・EPSも増加基調が続いている。**[5]

- **2025年3月期は営業利益が従来予想比149%上振れし、今後2026年3月期はキャッシュフローが一時減少する見通し。ただし2027年3月期以降は大型受注の減少に伴い減益となる見込み。株式分割や工場売却も経営体質強化に寄与。**[9][3]"
1948.T,弘電社,スタンダード,7,1.4527863777089784,0.9240849263320778,0.33523537803138376,0.1814976146027795,True,True,True,True,年率5–10%の安定成長は未達,"1. **2026年3月期の通期業績予想は、売上高420億円（前期比7.0%増）、営業利益31億円（同0.6%増）、経常利益32億円（同1.0%増）、親会社株主に帰属する当期純利益22億円（同3.7%増）と増収増益を計画しています**[3]。

2. **前期（2025年3月期）も順調な増収増益を記録しており、主力の電気設備工事の受注堅調が業績を支えています**[3]。

3. **次回の決算発表は2025年10月31日に予定されており、業績予想の修正や追加情報はこのタイミングで発表される見込みです**[5][7]。"
3153.T,八洲電機,プライム,7,0.3368997263000746,0.35440558029356617,2.4926686217008798,0.2019457084575553,True,True,True,True,年率5–10%の安定成長は未達,"八洲電機（3153.T）の直近決算・業績見通しは以下の通りです。

- 2025年3月期中間決算は、売上高287億1,500万円（前年同期比22.6％増）、営業利益18億5,800万円（前年同期比189.7％増）、純利益12億1,300万円（前年同期比141.3％増）と大幅な増収増益を達成しました。事業別ではプラント事業・公共/設備事業の利益伸長が顕著です【1】【3】。

- 2025年3月期通期見通しは、売上高665億円、営業利益52億円、純利益38億円の予想。前回予想比でも増額修正されており、3期連続の「増収・増益」が見込まれています【2】。

- 2026年3月期予想では、売上高を740億円（前期比12.0％増）、営業利益66億円（同25.6％増）、純利益46億円（同14.7％増）へ上方修正。配当も1株45円予定と増配見込みです。設備更新やインフラ需要が業績を押し上げています【3】。"
1384.T,ホクリヨウ,スタンダード,6,-0.13601036269430056,0.20285271907012925,3.9185185185185185,0.3367533059735522,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満,"- **2025年3月期は売上高1,939億円、純利益218億円で増収増益を記録し、財務も健全（自己資本比率73.7%）だった**[1][3][5]。

- **2026年3月期の会社予想は、売上高2,133億円（前期比+10.0%）、営業利益292億円（+51.7%）、経常利益299億円（+49.4%）、だが純利益は206億円（-5.5%）と減益見通し**[5]。

- **増収増益の背景は、鶏肉価格の堅調・飼料価格低下によるコスト減が主因で、逆に人件費高騰が利益を圧迫する懸念材料とされている**[2]。"
1777.T,川崎設備工業,名証Ｍ,6,1.0184638109305761,0.5952093083448853,1.2311015118790496,0.4033390544546731,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,"1777.T（ウエストホールディングス）の直近決算・業績見通しは以下の3点に要約できます。

- **2025年7月31日付で2026年3月期の業績予想を上方修正。売上高は前年予想比2.9％増の2,070億円、営業利益は16.1％増の151億円、純利益も17.1％増の164億円と、主要利益項目すべてで伸びを記録**[1]。
- **上方修正の理由として、太陽光発電関連事業の伸長などを背景に、事業全体の利益率が改善し、経常利益も前回予想比30％増の130億円まで拡大している**[1]。
- **近年は増収増益傾向が継続しており、資本効率も改善され、バリュエーション（株価指標）面でも業績の底堅さが評価されている**[1]。"
1942.T,関電工,プライム,6,0.39509472894391306,0.32170714389206956,0.3708833079318799,0.10891459119815551,True,True,False,True,年率5–10%の安定成長は未達; 経常成長の加速なし,"関電工（1942.T）の直近決算と見通しは以下の3点です。

- **2026年3月期第2四半期（中間期）決算は、売上高3,406億3,800万円（前年同期比18.8%増）、営業利益379億円（同49.1%増）と大幅な増収増益を達成**[7][10]。

- **通期（2025年3月期）決算では、売上高6,718.8億円、営業利益583.2億円を記録し、今期（2026年3月期）は売上高7,030億円、営業利益630億円予想と、さらなる増収増益を見込んでいる**[1]。

- **アナリストの見通しは「やや強気」が多く、目標株価は4,800円～4,885円程度で、株価水準は割高と評価されているが、引き続き業績拡大が期待されている**[2][4]。"
3842.T,ネクストジェン,スタンダード,6,0.4450867052023122,2.296902366978935,15.375,0.20899470899470898,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり,"株式会社ネクストジェン（3842.T）の直近決算・見通しの要約は以下の通りです。

- **2025年3月期通期は営業利益が前年同期比145％増の過去最高益を達成し、安定的なキャッシュ創出モデルが確立された**。[1]

- **サブスク型事業の安定成長と重要顧客へのシステム構築の増加が収益拡大の主因で、営業キャッシュフロー・フリーキャッシュフローも大幅増加している**。[1]

- **今後もクラウドPBXや業務支援型の法人向けサービス拡大により高成長を維持する見通しで、ID数は半年ごとに25％増と好調**。[3]"
1768.T,ソネック,スタンダード,5,1.324921135646688,-0.14279779913924717,8.566666666666666,0.6410256410256411,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満,"1768.T（ソネック）の直近決算・見通しは以下の通りです。

- 2026年3月期第1四半期の売上高は前年同期比64.1%増の**45億4,400万円**、営業利益は**2.58億円**と大幅な増収増益となった【3】。
- 2025年3月期通期の業績は、売上高**151億9,700万円**、営業利益**14億3,800万円**、経常利益**7億3,700万円**、当期純利益**5億100万円**と堅調な実績を記録した【9】。
- 次回決算発表は**2025年11月7日**の予定であり、建設事業の好調が今後も続く見通し【5】。"
1811.T,錢高組,スタンダード,5,0.022462896109105568,0.3320855049700602,2.121245828698554,0.2237056703963588,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2–3Qの連続クリア未達,"株式会社錢高組（1811.T）の直近決算と見通しは以下の3点に要約できます。

- **2026年3月期第1四半期（2025年4～6月）の売上高は前年同期比22.4％増の322.63億円、営業利益は21.03億円（前年同期は5,300万円）と大幅増益でした**[5]。
- **2025年3月期通期の売上高は1,206億円、純利益は35.04億円で、いずれも前年並み～微減となりました**[3]。
- **財務状況は自己資本比率46.8％と健全であり、今後も堅調な業績が見込まれています**[3]。

【参考URL】
[1. 2026年3月期第1四半期決算：Yahoo!ファイナンス][5]
[2. 2025年3月期通期決算：松井証券][3]
[3. 財務情報：松井証券][3]"
1949.T,住友電設,プライム,5,0.40082950673974227,0.1463069965952577,0.5174378846592205,0.11873990306946688,True,False,True,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達,"住友電設（1949.T）の直近決算と見通しについて、主なポイントは以下の通りです。

- **2026年3月期中間決算は売上高990億1,100万円（前年同期比9.3％増）、営業利益85億6,200万円（同38.9％増）など、増収増益を達成。主因は大型工事の進捗と工事採算の改善。**［https://finance.yahoo.co.jp/quote/1949.T/financials］

- **受注高は958億400万円（前年同期比0.7％減）とほぼ横ばいだが、自己資本比率は61.8％（前期末57.6％）へ改善し、財務基盤も強化。**［https://finance.yahoo.co.jp/quote/1949.T/financials］

- **売却による影響（親会社の住友電気工業による住友電設株式売却）は業績予想にまだ織り込まれていないが、今後の進捗次第で見通しや業績に影響を与える可能性がある。現在精査中。**［https://s.minkabu.jp/news/4363778］"
2317.T,システナ,プライム,5,0.19241601287467303,0.0912648005374379,0.5150416817687568,0.19994102034797995,True,True,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満,"1. **2026年3月期第2四半期（累計）の業績は、売上高469.67億円（前年同期比17.1％増）、営業利益75.93億円（同36.2％増）で、大幅な増収増益を達成**［7］。

2. **通期業績予想は再度上方修正され、売上高902億円（前期比7.9％増）、経常利益149億円（同25.7％増）、純利益103.6億円（同22.2％増）といずれも過去最高を更新見込み**［3］［11］。

3. **配当予想は1円増額され、今期予想配当は1株当たり13円となりました**［3］［11］。"
4685.T,菱友システムズ,スタンダード,5,0.3540044493882091,0.3401553007668059,0.1536502546689304,0.09238949817215021,False,True,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 経常成長の加速なし,"1. 2025年3月期の決算は、**売上高427.6億円・営業利益48.1億円・純利益33.8億円と過去最高を更新**しましたが、2026年3月期は**売上高425億円（前期比0.6％減）・営業利益48億円（同0.4％減）・純利益34億円（同0.5％増）と横ばい見通し**です【[1]】【[5]】【[9]】。

2. 2026年3月期第2四半期（上期累計）の**経常利益は前年同期比21.5%増の22.6億円、7-9月期も15%増益となり好調**です【[7]】。

3. **1株配当は前期比変わらず85円を予定**しており、配当政策は安定的な水準を維持しています【[5]】【[9]】。"
9271.T,和心,グロース,5,34.36363636363637,,0.6271186440677966,0.28547008547008546,True,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満,"9271.T（和心）の直近決算および見通しは以下の3点に要約できます。

- 2024年12月期決算では、売上高が約20.94億円（前年比57.4％増）、経常利益は3.89億円（前年比3,436％増／黒字転換）、純利益も3.98億円と大幅な増収増益で着地しました[1][2][3]。

- 2025年12月期の会社予想は、売上高28億円（前年比33.7％増）、営業利益5.2億円（同25.0％増）、経常利益5.1億円（同31.1％増）、純利益5億円（同25.6％増）と、引き続き大幅な増収増益が見込まれています[2][5][8]。

- 2025年12月期第2四半期累計（1-6月）の経常利益は前年同期比50.0％増の2.6億円（進捗率51.8％）で、会社計画に順調に進捗しています[1][3][5]。"
1418.T,インターライフホールディングス,スタンダード,4,2.5714285714285716,1.223398935157332,-0.010282776349614395,-0.07423067888184168,False,False,False,True,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし,"- **2025年2月期の業績は大幅増益**  
売上高169億円（前年同期比34.2％増）、営業利益・経常利益ともに8.75億円（同3.2倍以上）、純利益も7.05億円と好調でした[1][3][5]。

- **2026年2月期の会社予想は営業・経常利益ともさらに増益見込み**  
売上高165億円（前期比2.6％減）ながら、営業利益11億円（同25.6％増）、経常利益10.9億円（同24.6％増）、純利益7.5億円（同6.4％増）を計画しており、利益面の改善が続く見通しです[5][7]。

- **配当政策も強化、26年2月期は増配方針**  
好業績を受けて、年間配当予想は25円（前期は20円）へ増額修正されており、株主還元姿勢が強まっています[5][7]。"
1798.T,守谷商会,スタンダード,4,0.04311482622085361,0.35101820581949794,1.6608863198458574,0.07095892750405601,False,True,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達,"1. **2026年3月期第2四半期決算で、売上高は258.07億円（前年同期比19.6％増）、営業利益は23.81億円（同176.6％増）の大幅な増収増益を記録**[3]。

2. **2026年3月期通期の業績予想を上方修正し、売上高は従来予想の505億円から525億円（前期比4.4％増）へ引き上げた**[5]。

3. **次回決算発表予定日は2025年10月31日であり、市場では直近業績の好調および予想上方修正を受け急伸する場面も見られた**[7][9]。"
1981.T,協和日成,スタンダード,4,0.1457905544147844,0.11853523692067203,1.65,0.12586206896551724,True,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近2–3Qの連続クリア未達,"1. 協和日成（1981.T）の2026年3月期第1四半期の業績は、売上高84.89億円（前年同期比12.6％増）、営業利益1.1億円（前年同期は1,800万円の営業損失から黒字化）、経常利益2.12億円（前年同期比164.6%増）、四半期純利益1.79億円（前年同期比182.8%増）と大幅な増収増益を記録しました【https://finance.yahoo.co.jp/quote/1981.T/financials】。

2. 業績好調の背景には、建築設備事業やガス・機器設備事業での受注増加、基幹システム変更による売上計上精度向上などがありましたが、ガス導管事業は減収減益となりました【https://finance.yahoo.co.jp/quote/1981.T/financials】。

3. 2026年3月期の配当金予想は1株あたり45円と3円の増配見通しで、財務面では総資産が前事業年度末比4.1%減の271.96億円、純資産が4.4%減の180.44億円、自己資本比率は66.3%（0.2ポイント低下）となっています【https://finance.yahoo.co.jp/quote/1981.T/financials】。"
2875.T,東洋水産,プライム,4,0.12057845611505025,0.3853841263593225,0.06280038449214995,0.013671662231352227,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達,"東洋水産（2875.T）の直近決算・見通しは以下の3点に要約できます。

- 2026年3月期第2四半期累計（4～9月）の連結経常利益は437億円となり、前年同期比1.0%減となったが、直近3カ月（7～9月）は232億円で6.3%増と堅調だった[2][3][5]。

- 通期業績予想は、売上高を前回予想の5,450億円から5,350億円へ下方修正した一方、営業利益は760億円から800億円に上方修正し、4期連続の過去最高益を見込んでいる[2][5]。

- 海外即席麺事業では米国などでの需要はやや鈍化したが、国内即席麺・低温食品事業が堅調で、海外事業の営業利益もドルベースでは増益、為替の影響により円ベースでは減収減益となった[3][5]。"
4186.T,東京応化工業,プライム,4,0.4243198680956306,0.05634701572553413,0.3056622475529674,0.15350268509020695,True,True,False,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 経常成長の加速なし,"- 2025年12月期第2四半期累計（1-6月）の連結経常利益は前年同期比44.4％増の203億円となり、好調な増益を記録しました[1][9]。

- 半導体需要の回復を背景に、大幅な増収増益を達成し、売上高は1,116億2,300万円（前年同期比17.8％増）、営業利益は198億4,700万円（同84.6％増）でした[5][10]。

- 通期予想も上方修正されており、経常利益・純利益ともに過去最高益更新を見込む強気な見通しとなっています[8][1]。"
1802.T,大林組,プライム,3,0.6760421788777795,0.23354227938432248,-0.09092706068392963,-0.08399572571096782,False,False,False,False,年率5–10%の安定成長は未達; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし; 経常利益率のYoY改善なし,"1. **2025年3月期決算は増収増益**  
売上高は2兆6,201億円、純利益は1,460億円と、いずれも前期比で大幅な増加となりました[1][3]。

2. **2026年3月期は減収減益の見通し**  
売上高は2兆5,000億円（前年比601億円減）、営業利益は1,220億円（前年比214億円減）、経常利益は1,260億円（前年比273.8億円減）と、減収減益が予想されています[1]。

3. **今後の安定成長に注目**  
直近2期で大幅増収・増益を果たした一方、ROE（自己資本利益率）の上昇傾向等、資本効率改善が進んでおり、バリュエーションではPBR（株価純資産倍率）の改善が期待されています[3]。"
1921.T,巴コーポレーション,スタンダード,3,0.2355252816347917,0.0456760693062539,-0.10252237591537836,-0.10680379746835443,False,False,False,True,年率5–10%の安定成長は未達; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達; 経常成長の加速なし,"巴コーポレーション（1921.T）の直近決算および見通しについて、主なポイントは以下の3点です。

- 2025年3月期第1四半期は**減収減益**となり、売上高は前年比10.7%減の67.74億円、営業利益は同12.7%減の7.33億円でした。不動産事業は増収でしたが、主力の鉄構建設事業の売上減が影響しました［3］。

- **通期見通しも減収減益**が見込まれており、2025年3月期の売上高は320億円（前期比約27億円減）、営業利益は30億円（同9億円減）と会社側が計画しています［1］。

- 受注高は前年同期比19%増と**受注は好調**で、今後の業績回復への期待もありますが、当面は減収減益トレンドの継続が見込まれています［3］。

［1］https://minkabu.jp/stock/1921/settlement  
［3］https://finance.yahoo.co.jp/quote/1921.T/financials"
1959.T,クラフティア,プライム,3,0.0489117605401066,0.11937626145487923,0.42199108469539376,-0.04407750361291013,False,False,True,True,年率5–10%の安定成長は未達; 直近1年+20%未満; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達,"クラフティア（1959.T）の直近決算および見通しの要点は以下の3点です。

- **2026年3月期中間決算では、売上高は前年同期比5.3％減の2,077.25億円だが、工事利益率の改善により営業利益は24.9％増の228.04億円となった**[7]。

- **2026年3月期第2四半期累計（4-9月）の連結経常利益は前年同期比21.5％増の241億円で、通期経常利益計画475億円に対して順調に進捗している**[11]。

- **業績は減収増益傾向で推移しており、工事利益率や経常利益率の向上が見通しの主な要因として注目されている**[7]。"
2055.T,日和産業,スタンダード,3,0.24918032786885247,,0.45410628019323673,-0.07047711310244612,False,False,True,True,年率5–10%の安定成長は未達; 途中に大幅減益あり; 直近2年CAGR+20%未満; 直近Q: 経常+20% & 売上+10% 未達; 直近2–3Qの連続クリア未達,"日和産業（2055.T）の直近決算および見通しについて、以下の3点に要約します。

- **2026年3月期第1四半期は、売上高が前年同期比7.1％減となった一方で、営業利益は51.8％増、経常利益も45.5％増と大幅な増益となりました[1][3]。**［https://finance.yahoo.co.jp/quote/2055.T/financials］

- **飼料事業の利益が58.9％増と全体業績をけん引した一方、畜産事業のセグメント利益は66.2％減となっています。自己資本比率は61.8％に上昇し、財務体質も強化されています[1][3]。**［https://finance.yahoo.co.jp/quote/2055.T/financials］

- **今後の通期予想については、利益面での上振れ可能性が示唆されていますが、原材料価格や為替動向の影響には引き続き注意が必要とされています[1][3]。**［https://finance.yahoo.co.jp/quote/2055.T/financials］"
